department,fiscal_year,program,umbrella,description,fy_started,category_youth_development,data_quality,centralized_db,youth_served,youth_served_accuracy,demographic_info_collected,race_ethnicity,gender,household_income,age_range,grade_level,participation_frequency,multienrollment,program_season,service_area_council_district,total_funding_dollars,funding_accuracy,funding_source,general_fund_percentage,general_fund_source_amount,special_purpose_source_amount,city_staff,service_providers_contractors,recruitment_strategy,interactions,additional_info
AnimalServices,2023-2024,One Day Volunteer Groups,,"LAAS welcomes ""One Day Groups"" either from schools, clubs, or groups of friends that arrange to come in for one day and help out around the shelter. Volunteers are aged 12 years and older.",Have always existed. One Day Volunteer Waivers were introduced in Jul 17 / Jun 18,Recreation,Fair,Yes,22,Exact Amount,,,,,"12 to 14, 15 to 17, 18 to 19, 20 to 25, 25 to 30","9-12th grade, Post-secondary",One time (drop-in),,Year-round,All Council Districts,,,"Private Organization, Philanthropic Funds",,,,10 or more,,"Community Partnerships, Educational Partners, Referrals","""Parents, guardings, caregivers"", Educators, City department staff",One day volunteer groups bring their own supplies and their own budget to be donated
AnimalServices,2023-2024,Animal Shelter Tours,,"LAAS conducts tours of their 6 animal care centers for interested groups, school field trips, and others as a thank you for running donation drives",Have always existed. They were more organized and scheduled in Jul 07 / Jun 08,"Recreation, Academic Achievement & Education Enrichment",Fair,Yes,22,Estimated Amount,,,,,"5 to 8, 9 to 11, 12 to 14, 15 to 17, 18 to 19, 20 to 25, 25 to 30","K-5th grade, 6-8th grade, 9-12th grade, Post-secondary",One time (drop-in),,Year-round,All Council Districts,,,"Other, General Fund (City)",,,,10 or more,,"Community Partnerships, Educational Partners, Referrals","""Parents, guardings, caregivers"", Educators, City department staff",No specific budget
AnimalServices,2023-2024,Career Days,,"LAAS participates in career days at elementary, Junior\Middle, and High Schools to talk about our career and how the students can prepare for a career in animal services.",,Career Readiness & Financial Empowerment,Fair,Yes,4,Estimated Amount,,,,,"5 to 8, 9 to 11, 12 to 14, 15 to 17","K-5th grade, 6-8th grade, 9-12th grade",One time (drop-in),,Year-round,All Council Districts,,,"General Fund (City), Other",,,,10 or more,,"Community Partnerships, Educational Partners, Referrals","Educators, City department staff",No specific budget
AnimalServices,2023-2024,Paid Interns through the Mayor's Program,,"LAAS has taken on paid interns to assist with shelter operations, clerical support, and training volunteers. These volunteers are all students at local community colleges",Jul 22 / Jun 23,"Career Readiness & Financial Empowerment, Leadership Development, Mentorship",Good,No,12,Estimated Amount,"Gender, Address or Zipcode, Other",,Unsure,,"18 to 19, 20 to 25",Post-secondary,Multiple times,,Year-round,All Council Districts,,,,,,,4-5,,Referrals,City department staff,Paid for by the Mayor's Pathway Intern Program
AnimalServices,2023-2024,LAAS Foster Program,,LAAS Foster Program is a way for the public (18+) to care for animals in their homes. Adult animals show better outside the shelter. Underage animals (>8 wks old) are unsustainable at the shelters and raised until they are at least 8 wks old and weigh enough for surgery. Students under 18 can help their parents and get service credit for school.,Jul 07 / Jun 08,"Health and Wellbeing, Recreation, Academic Achievement & Education Enrichment",Very good,Yes,,,"Address or Zipcode, Other",,,,"18 to 19, 20 to 25, 25 to 30",,Multiple times,,Year-round,All Council Districts,,,"Other, General Fund (City), Philanthropic Funds",,,,10 or more,,"Emails, Physical Flyers, Community Partnerships, Outreach Events, Department Website, Instagram, Facebook, Other","""Parents, guardings, caregivers"", City department staff",No specific budget
CannabisRegulation,2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAO,2023-2024,Internship Program,No,"The CAO hosts an internship program for college students or recent college graduates who express interest in pursuing a career in government. During their internships, the interns work on specific projects, but the CAO also provides various opportunities for site visits and participation in various meetings to allow the Interns to learn about City employment opportunities in different departments.",Approximately 2012-13,Career Readiness & Financial Empowerment,Good,No,4,Exact Amount,Gender,,Yes,,20 to 25,Post-secondary,Multiple times,No,Year-round,CD 14,63059.04,Exact,General Fund (City),,,,1-3,0,Educational Partners,Educators,
CAO,2023-2024,A Bridge Home Program,No,"Homeless Housing, Assistance and Prevention (HHAP) Grant-3 for operations of youth beds in Council District 11 as part of the A Bridge Home Program.",,Basic Needs and Stability,,,54,Exact Amount,,,,,,,,,,CD 11,1185840,Exact,Special Purpose Funds (State),0%,,,,,,,"Homeless Housing, Assistance and Prevention (HHAP) Grant Program (Round 3)."
CAO,2023-2024,Housing for Youth Experiencing Homelessness,No,General Funds for operations of youth beds through LAHSA contract.,,Basic Needs and Stability,,,120,Exact Amount,,,,,,,,,,,2119140,Exact,General Fund (City),100%,,,,,,,
CHRE,2023-2024,L.A. Civil Rights  - Volunteer Corps,No,Volunteer Corps supports the department as a workforce amplifier with a focus on Community Engagement.,2021-2022,"Career Readiness & Financial Empowerment, Leadership Development",Good,Yes,15,Estimated Amount,Address or Zipcode,No,No,No,"18 to 19, 20 to 25, 25 to 30",Post-secondary,Multiple times,,Year-round,All Council Districts,,Estimate,,,,,1-3,0,"Emails, Newsletter, Referrals, Community Partnerships, Educational Partners, Outreach Events, Department Website, Instagram, Facebook, TikTok, LinkedIn","Educators, Social workers, Community members, City department staff",
CHRE,2023-2024,L.A. Civil Rights - L.A. REPAIR - Participatory Budgeting Program,Yes,Participatory budgeting (PB) is a democratic process in which community members decide how to spend part of a public budget.,2022-2023,"Other, Recreation, Academic Achievement & Education Enrichment, Career Readiness & Financial Empowerment, Basic Needs and Stability, Health and Wellbeing, Leadership Development, Safety and Justice, Mentorship",Very good,Yes,1567,Exact Amount,"Race/ethnicity, Household Income, Gender, Other, Address or Zipcode",No,No,No,"5 to 8, 9 to 11, 12 to 14, 15 to 17, 18 to 19, 20 to 25, 25 to 30","K-5th grade, 6-8th grade, 9-12th grade, Post-secondary",One time (drop-in),No,Year-round,"CD 1, CD 7, CD 6, CD 8, CD 9, CD 10, CD 11, CD 12, CD 13, CD 14, CD 15",8500000,Exact,Special Purpose Funds (City),,,,6-9,3,"Emails, Newsletter, Physical Flyers, Community Partnerships, Outreach Events, Department Website, Instagram, Facebook, TikTok, LinkedIn","""Parents, guardings, caregivers"", ""Relatives (siblings, grandparents, etc.)"", Educators, Social workers, Community members, City department staff",
CHRE,2023-2024,L.A. REPAIR - Peace and Healing Center,Yes,"The Peace and Healing Centers pilot program provides $2 million to community-based organizations to implement culturally-informed programming that addresses social, economic, and environmental harms created by institutional and structural racism. These centers will be located in nine neighborhoods called L.A. REPAIR Zones, which experience some of the highest levels of poverty, overcrowded housing, and pollution in the City of Los Angeles.",2022-2023,"Recreation, Academic Achievement & Education Enrichment, Career Readiness & Financial Empowerment, Basic Needs and Stability, Health and Wellbeing, Leadership Development, Safety and Justice",Good,Yes,4955,Estimated Amount,"Race/ethnicity, LGBTQIA, Household Income, Address or Zipcode",No,No,No,"15 to 17, 18 to 19, 20 to 25, 25 to 30",,Participation frequency not tracked,Yes,Year-round,"CD 1, CD 6, CD 7, CD 8, CD 9, CD 10, CD 12, CD 13, CD 14, CD 15",2000000,Exact,Special Purpose Funds (City),,,,4-5,1,"Emails, Newsletter, Physical Flyers, Referrals, Community Partnerships, Educational Partners, Outreach Events, Other, Department Website, Instagram, Facebook, TikTok, LinkedIn","""Parents, guardings, caregivers"", ""Relatives (siblings, grandparents, etc.)"", Educators, Social workers, Community members, City department staff",
CHRE,2023-2024,Young Adult Dinner Dialogues,No,"Community dialogues were held throughout the City of Los Angeles. They were a facilitated conversation between the Los Angeles Police Department's patrol officers and community members. The Civil Rights Department co-sponsored the events with Los Angeles Police Department, and the Los Angeles Police Foundation (LAFD). This was a collaborative effort with community based organizations who provide direct services to youth and colleges/post-secondary institutions.",2022-2023,"Safety and Justice, Academic Achievement & Education Enrichment, Health and Wellbeing, Leadership Development",Good,Yes,135,Estimated Amount,"Other, Race/ethnicity, Gender",Yes,Yes,,"15 to 17, 20 to 25, 25 to 30","9-12th grade, Post-secondary",One time (drop-in),,Year-round,"CD 6, CD 7, CD 11, CD 13, CD 14, CD 15, CD 10",10000,Estimate,Philanthropic Funds,,,,4-5,2,"Instagram, Department Website, Educational Partners, Physical Flyers, Community Partnerships, Newsletter, Emails, Referrals, Outreach Events, Other","Community members, Educators, City department staff, ""Parents, guardings, caregivers""","The Civil Rights Department and Human Relations Commission (HRC) will be releasing a report on the findings of the dialogues. The report will provide recommendations for the Los Angeles Police Department. Service providers = Los Angeles Police Department, Los Angeles Police Foundation."
CHRE,2023-2024,Youth Encouragement via Speaking Engagements,Yes,"LA Civil Rights seeks to build more pipelines for success to help all Angelenos reach the middle class and beyond. LA Civil Rights works with young people and community-based organizations to host dozens of upward mobility and youth programming, including college & career readiness, financial literacy workshops and speaking engagements at colleges and universities.",2022-2023,"Leadership Development, Career Readiness & Financial Empowerment, Academic Achievement & Education Enrichment",Good,"No, but there is a plan to create one.",500,Estimated Amount,Other,No,No,No,,"Post-secondary, 9-12th grade",Participation frequency not tracked,,Year-round,,,,,,,,4-5,,"Department Website, Instagram, LinkedIn, Outreach Events, Newsletter, Community Partnerships","Educators, City department staff, Community members",
CHRE,2023-2024,LA For All Lighting Ceremony 2023,No,Hosted the LA For ALL Lighting Ceremony in City Hall. It is a celebration denouncing hate where everyone comes together.,2022,Academic Achievement & Education Enrichment,Good,Yes,10,Estimated Amount,Other,No,No,No,,Post-secondary,Unsure,,Fall,CD 14,,,General Fund (City),,,,10 or more,,"Emails, Newsletter, Physical Flyers, Referrals, Community Partnerships","Community members, City department staff, ""Parents, guardings, caregivers""",
CHRE,2023-2024,Tom LaBonge Day of Service,No,Tom LaBonge Day of Service to clean the parks and streets of Los Angeles.,2022,Recreation,Fair,Yes,30,Estimated Amount,Other,No,No,No,,Post-secondary,Unsure,,Fall,CD 8,,,General Fund (City),,,,6-9,10,"Emails, Newsletter, Physical Flyers, Referrals, Community Partnerships","Community members, City department staff, ""Parents, guardings, caregivers""",
CHRE,2023-2024,Law Day,Yes,Upward Mobility Event where youth is invited to learn about careers in law.,2022,Academic Achievement & Education Enrichment,Fair,Yes,100,Estimated Amount,Other,No,No,No,,Post-secondary,Unsure,,Winter,All Council Districts,,,General Fund (City),,,,4-5,10,"Emails, Newsletter, Physical Flyers, Referrals, Community Partnerships","Community members, City department staff, ""Parents, guardings, caregivers""",
CHRE,2023-2024,Together In Service Kick off Event,Yes,Initiative to bring communities together to perform acts of service across the city.,2023,Leadership Development,Fair,Yes,80,Estimated Amount,Other,No,No,No,,Post-secondary,Unsure,,Winter,All Council Districts,,,General Fund (City),,,,1-3,10,"Emails, Newsletter, Physical Flyers, Referrals, Community Partnerships","Community members, City department staff, ""Parents, guardings, caregivers""",
CHRE,2023-2024,LA Medical Day,Yes,"Upward Mobility Event, where youth are invited to learn about careers in the medical field.",2022,Academic Achievement & Education Enrichment,Fair,Yes,100,Estimated Amount,Other,No,No,No,,Post-secondary,Unsure,,Winter,All Council Districts,,,General Fund (City),,,,4-5,10,"Emails, Newsletter, Physical Flyers, Referrals, Community Partnerships","Community members, City department staff, ""Parents, guardings, caregivers""",
CHRE,2023-2024,FAFSA and Types of Student Loans,Yes,Upward Mobility Event: where youth learns about student loans.,2022,"Academic Achievement & Education Enrichment, Career Readiness & Financial Empowerment",Fair,Yes,100,Estimated Amount,Other,No,No,No,,Post-secondary,Unsure,,Winter,All Council Districts,,,General Fund (City),,,,4-5,10,"Emails, Newsletter, Physical Flyers, Referrals, Community Partnerships","Community members, City department staff, ""Parents, guardings, caregivers""",
CHRE,2023-2024,The Space Race Screening and Panel Discussion,Yes,Heritage Month,2022,Leadership Development,Fair,Yes,50,Estimated Amount,Other,No,No,No,,Post-secondary,Unsure,,Winter,All Council Districts,,,General Fund (City),,,,1-3,10,"Emails, Newsletter, Physical Flyers, Referrals, Community Partnerships","Community members, City department staff, ""Parents, guardings, caregivers""",
CHRE,2023-2024,YMCA Healthy Kids Day,Yes,Initiative to bring communities together to perform acts of service across the city.,2023,Leadership Development,Fair,Yes,100,Estimated Amount,Other,No,No,No,,Post-secondary,Unsure,,Winter,All Council Districts,,,General Fund (City),,,,1-3,10,"Emails, Newsletter, Physical Flyers, Referrals, Community Partnerships","Community members, City department staff, ""Parents, guardings, caregivers""",
CHRE,2023-2024,LA For Everyone x CAL State LA Art Collab,Yes,"Every year Cal State LA Students present their works of art, which are eligible to be selected as part of the award-winning anti-hate campaign LA FOR ALL art bank.",2022,Academic Achievement & Education Enrichment,Fair,Yes,30,Estimated Amount,Other,No,No,No,,Post-secondary,Unsure,,Winter,All Council Districts,,,General Fund (City),,,,1-3,10,"Emails, Newsletter, Physical Flyers, Referrals, Community Partnerships","Community members, City department staff, ""Parents, guardings, caregivers""",
CHRE,2023-2024,Civic Engagement in Action,Yes,"Members of the LACR staff visit several school campuses, providing an overview of the department and/or discuss Civil Rights issues the city is facing.",2022,"Academic Achievement & Education Enrichment, Career Readiness & Financial Empowerment, Mentorship",Fair,Yes,300,Estimated Amount,Other,No,No,No,,Post-secondary,Unsure,,Winter,All Council Districts,,,General Fund (City),,,,1-3,10,"Emails, Newsletter, Physical Flyers, Referrals, Community Partnerships","Community members, City department staff, ""Parents, guardings, caregivers""",
CIFD,2023-2024,FamilySource,Yes,"The FSS is a network of 19 FamilySource Centers strategically located in high need areas, offering a comprehensive range of interconnected essential services, financial capability programs, and educational initiatives all under one roof.  By seamlessly integrating services such as housing assistance, financial capability programs, and academic enrichment, the FSS ensures families have access to the resources and tools needed to achieve stability, build economic security, and create sustainable pathways to self-sufficiency.",2009,Academic Achievement & Education Enrichment,Excellent,Yes,10913,Exact Amount,"Race/ethnicity, Gender, Household Income, Address or Zipcode",Yes,Yes,Yes,"15 to 17, 0 to 5, 5 to 8, 9 to 11, 12 to 14, 18 to 19","9-12th grade, 6-8th grade",Multiple times,Yes,Year-round,All Council Districts,10754476,Estimate,"Special Purpose Funds (Federal), General Fund (City)",60%,"$6,970,943","$2,221,433 Community Development Block Grant || $1,562,100 Community Services Block Grant",10 or more,21,Community Partnerships,"""Parents, guardings, caregivers"", ""Relatives (siblings, grandparents, etc.)"", Community members, Other","Please note that this information includes FSC providers, our Los Angeles Unified School District partnership and an evaluator contract with California State University, Northridge."
CityAttorney,2023-2024,10- week Internship Program,Yes,"Volunteer opportunities are offered to students enrolled in high school, undergraduate, a master's program and law school. During the 10 week internship, students assist the office with various tasks that provide them with exposure to the day-to-day life of an attorney/staff.",2019-2020,"Career Readiness & Financial Empowerment, Mentorship",Very good,"No, but there is a plan to create one.",115,Estimated Amount,"Race/ethnicity, Gender, Address or Zipcode",Yes,Yes,No,"15 to 17, 18 to 19, 20 to 25, 25 to 30","9-12th grade, Post-secondary",Multiple times,Yes,Year-round,All Council Districts,360,Exact,Special Purpose Funds (City),,,Contingency Account,10 or more,15,"Emails, Newsletter, Physical Flyers, Referrals, Community Partnerships, Outreach Events, Department Website, Instagram, Facebook","""Parents, guardings, caregivers"", Educators, Community members, City department staff","Testimony from an intern -- ""I am reaching out to you to sincerely thank you from the bottom of my heart for selecting me to be apart of the Los Angeles City Attorney Internship Program. It was truly an honor and such a great experience. I loved the field trips, I loved my office, and I loved the legal experience that I gained throughout the summer. Going to court alongside real attorneys helped me learn invaluable insights about trial and court proceedings that I would not have known otherwise. Like during witness selection we all have to stand as they walk into the courtroom.
Programs such as these are so great for all types of students because it helps us further understand the job of an attorney. I am extremely grateful to have been apart of this summer's cohort and I hope to remain in communication with you in the future."" -MO, high school student"
CityAttorney,2023-2024,Post-Bar Fellowship,Yes,"The Los Angeles City Attorney's Office welcomes individuals who have
received a Juris Doctorate (J.D.) degree and are awaiting California Bar
examination results to apply for the program. Fellows will work in an assigned
division under the supervision of an attorney. Fellows who participate in our
Criminal Branch may have the opportunity to assist with court operations, sit
second chair in trial, argue motions, and appear on the record.",2019-2020,"Mentorship, Career Readiness & Financial Empowerment",Very good,,20,Estimated Amount,"Race/ethnicity, Gender, Address or Zipcode",Yes,Yes,No,"20 to 25, 25 to 30","9-12th grade, Post-secondary",Multiple times,Yes,Year-round,All Council Districts,0,Exact,,,,,10 or more,5,"Emails, Newsletter, Physical Flyers, Referrals, Community Partnerships, Facebook, Instagram, Outreach Events, Department Website","""Parents, guardings, caregivers"", Community members, City department staff","While the Post-Bar Fellowship program does not guarantee a full-time position at the LA City Attorney's Office, many volunteers have successfully applied and secured employment after receiving their Bar results."
CityAttorney,2023-2024,Prom Closet,No,"Annual event to give away prom clothes (dresses, shoes, suits, accessories to Los Angeles seniors)",2017?,Other,Fair,No,150,Estimated Amount,Other,,,,15 to 17,9-12th grade,One time (drop-in),,Spring,All Council Districts,0,Exact,Philanthropic Funds,0%,,,4-5,3+,"Physical Flyers, Referrals, Community Partnerships, Educational Partners","Educators, Community members",
CityAttorney,2023-2024,Toy/Backpack Donations,Yes,As-needed events to giveaway backpacks (usually in Sept) and toys (year round),2003,Other,Fair,No,100,Estimated Amount,,,,,"5 to 8, 0 to 5, 9 to 11, 12 to 14, N/A","K-5th grade, 6-8th grade, 9-12th grade",One time (drop-in),,Year-round,All Council Districts,,Exact,Philanthropic Funds,0%,,,1-3,3+,"Community Partnerships, Outreach Events","Educators, Social workers, Community members, City department staff, ""Parents, guardings, caregivers""",funding is based on donations
CityAttorney,2023-2024,Hearings Program,Yes,"The LA City Attorney's Office Hearings Program does not conduct hearings with minors unless accompanied by a parent or guardian. However,  the program made 25 parenting class referrals in 2023 and 40 parenting class referrals in 2024. The program also made additional counseling referrals to parents which continue to have a positive impact on the youth such as substance abuse education, anger management classes, personal therapy, etc. In addition, the Hearings Program is now conducting truancy hearings as an alternative to prosecution in hopes to get children back in the classroom.",1974,"Health and Wellbeing, Academic Achievement & Education Enrichment, Safety and Justice",Very good,Yes,,Estimated Amount,,,,,,"K-5th grade, 6-8th grade",,,,All Council Districts,,,General Fund (City),,,,10 or more,,,"""Parents, guardings, caregivers""",
CityAttorney,2023-2024,Tobacco Enforcement Operations,Yes,"The Tobacco Enforcement Operations unit is responsible for regulating tobacco retailers to ensure compliance with all applicable laws, including proper permitting and prohibitions against sales to minors. Through undercover minor decoy compliance checks, retailer education, and outreach, the unit enforces restrictions on unlawful sales, including the prohibition of flavored tobacco products that are known to appeal to youth. While the program does not provide direct services to youth, the objective behind enforcement activities is the protection of youth from the harms of tobacco-use and addiction.",FY 1999/2000,Safety and Justice,Very good,Yes,,Estimated Amount,Address or Zipcode,,,,,,,,,,,,Special Purpose Funds (State),,,,6-9,,,,
